service_id,date,exception_type
20M-H50M000S-89-S,20200410,2
20M-H50M000S-89-SV,20200410,2
20M-H50M000S-89-S,20200413,2
20M-H50M000S-90-S,20200518,2
20M-H54M000S-46-S,20200330,2
20M-H54M000S-46-S,20200331,2
20M-H54M000S-46-S,20200401,2
20M-H54M000S-46-S,20200402,2
20M-H54M000S-46-S,20200403,2
20M-H54M000S-46-S,20200406,2
20M-H54M000S-46-S,20200407,2
20M-H54M000S-46-S,20200408,2
20M-H54M000S-46-S,20200409,2
20M-H54M000S-46-S,20200410,2
20M-H54M000S-46-S,20200413,2
20M-H54M000S-46-S,20200414,2
20M-H54M000S-46-S,20200415,2
20M-H54M000S-46-S,20200416,2
20M-H54M000S-46-S,20200417,2
20M-H54M000S-46-S,20200518,2
20M-H54M000S-20-S,20200410,2
20M-H54M000S-20-S,20200413,2
20M-H55M000S-82-S,20200410,2
20M-H55M000S-82-SV,20200410,2
20M-H55M000S-82-S,20200413,2
20M-H55M000S-84-S,20200518,2
20M-H56M000S-85-S,20200410,2
20M-H56M000S-85-SV,20200410,2
20M-H56M000S-85-S,20200413,2
20M-H56M000S-86-S,20200518,2
20M-H57M000S-91-S,20200410,2
20M-H57M000S-91-S,20200413,2
20M-H57M000S-94-S,20200518,2
20M-H58M000S-92-S,20200410,2
20M-H58M000S-92-S,20200413,2
20M-H58M000S-97-S,20200518,2
20M-H59M000S-01-S,20200410,2
20M-H59M000S-01-SV,20200410,2
20M-H59M000S-01-S,20200413,2
20M-H59M000S-05-S,20200518,2
20M-H60M000S-91-S,20200410,2
20M-H60M000S-91-S,20200413,2
20M-H60M000S-93-S,20200518,2
20M-H62M000S-02-S,20200410,2
20M-H62M000S-02-S,20200413,2
20M-H62M000S-02-S,20200518,2
20M-GLOBAUX-04-S,20200330,2
20M-GLOBAUX-04-S,20200331,2
20M-GLOBAUX-04-S,20200401,2
20M-GLOBAUX-04-S,20200402,2
20M-GLOBAUX-04-S,20200403,2
20M-GLOBAUX-04-S,20200406,2
20M-GLOBAUX-04-S,20200407,2
20M-GLOBAUX-04-S,20200408,2
20M-GLOBAUX-04-S,20200409,2
20M-GLOBAUX-04-S,20200410,2
20M-GLOBAUX-04-S,20200413,2
20M-GLOBAUX-04-S,20200414,2
20M-GLOBAUX-04-S,20200415,2
20M-GLOBAUX-04-S,20200416,2
20M-GLOBAUX-04-S,20200417,2
20M-GLOBAUX-04-S,20200420,2
20M-GLOBAUX-04-S,20200421,2
20M-GLOBAUX-04-S,20200422,2
20M-GLOBAUX-04-S,20200423,2
20M-GLOBAUX-04-S,20200424,2
20M-GLOBAUX-04-S,20200518,2
20M-GLOBAUX-00-A,20200404,2
20M-GLOBAUX-00-A,20200411,2
20M-GLOBAUX-00-A,20200418,2
20M-GLOBAUX-00-A,20200425,2
20M-GLOBAUX-00-I,20200405,2
20M-GLOBAUX-00-I,20200412,2
20M-GLOBAUX-00-I,20200419,2
20M-GLOBAUX-00-I,20200426,2
20M-GLOBAUX-20-S,20200410,2
20M-GLOBAUX-20-S,20200413,2
