trip_id,start_time,end_time,headway_secs
20C-GLOBAUX-04-S_1_3,05:30:00,05:38:00,480
20C-GLOBAUX-04-S_1_3,05:38:00,06:11:45,405
20C-GLOBAUX-04-S_1_3,06:11:45,06:17:55,370
20C-GLOBAUX-04-S_1_3,06:17:55,06:27:55,300
20C-GLOBAUX-04-S_1_3,06:27:55,06:57:55,225
20C-GLOBAUX-04-S_1_3,06:57:55,07:15:50,215
20C-GLOBAUX-04-S_1_3,07:15:50,07:38:00,190
20C-GLOBAUX-04-S_1_3,07:38:00,07:49:40,175
20C-GLOBAUX-04-S_1_3,07:49:40,07:57:55,165
20C-GLOBAUX-04-S_1_3,07:57:55,08:12:55,150
20C-GLOBAUX-04-S_1_3,08:12:55,08:34:55,165
20C-GLOBAUX-04-S_1_3,08:34:55,08:41:05,185
20C-GLOBAUX-04-S_1_3,08:41:05,08:44:15,190
20C-GLOBAUX-04-S_1_3,08:44:15,08:57:15,195
20C-GLOBAUX-04-S_1_3,08:57:15,09:13:55,200
20C-GLOBAUX-04-S_1_3,09:13:55,09:39:35,220
20C-GLOBAUX-04-S_1_3,09:39:35,09:44:05,270
20C-GLOBAUX-04-S_1_3,09:44:05,15:09:05,300
20C-GLOBAUX-04-S_1_3,15:09:05,15:13:55,290
20C-GLOBAUX-04-S_1_3,15:13:55,16:21:25,225
20C-GLOBAUX-04-S_1_3,16:21:25,16:34:25,195
20C-GLOBAUX-04-S_1_3,16:34:25,16:46:45,185
20C-GLOBAUX-04-S_1_3,16:46:45,17:19:45,180
20C-GLOBAUX-04-S_1_3,17:19:45,17:49:00,195
20C-GLOBAUX-04-S_1_3,17:49:00,18:52:45,225
20C-GLOBAUX-04-S_1_3,18:52:45,18:57:15,270
20C-GLOBAUX-04-S_1_3,18:57:15,22:27:15,300
20C-GLOBAUX-04-S_1_3,22:27:15,23:33:15,360
20C-GLOBAUX-04-S_1_3,23:33:15,23:54:15,420
20C-GLOBAUX-04-S_1_3,23:54:15,24:30:30,435
20C-GLOBAUX-04-S_1_3,24:30:30,24:38:00,450
